title:Psychopy_Abdullah_2_2023-02-10T115551.256258, start timestamp:1676058951.173312, stop timestamp:1676059012.180282, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:125, sampling rate:eeg_128;pow_8, samples:7814      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1676058951.173312,1676058951.173620,26.000000,0.000000,4290.769043,4283.077148,4305.512695,4300.769043,4295.897461,4458.333496,4297.820313,4277.179688,4265.128418,4264.615234,4444.358887,4472.820313,4365.769043,4405.769043,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676058951.181121,1676058951.181528,27.000000,0.000000,4292.820313,4292.436035,4312.820313,4308.461426,4298.205078,4450.384766,4317.051270,4282.436035,4275.384766,4270.512695,4451.282227,4479.102539,4367.051270,4406.666504,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676058951.188929,1676058951.189337,28.000000,0.000000,4296.666504,4295.897461,4311.922852,4306.153809,4297.307617,4444.871582,4327.051270,4291.922852,4281.794922,4276.922852,4459.487305,4489.615234,4374.615234,4412.051270,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676058951.196738,1676058951.197145,29.000000,0.000000,4295.641113,4281.410156,4310.128418,4296.666504,4293.461426,4436.794922,4330.256348,4299.487305,4281.410156,4278.846191,4457.051270,4491.666504,4374.871582,4412.948730,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676058951.204546,1676058951.204854,30.000000,0.000000,4292.948730,4273.974121,4307.820313,4294.358887,4292.820313,4417.692383,4318.461426,4298.077148,4282.692383,4275.000000,4453.589844,4488.205078,4368.333496,4406.794922,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.487970,6.568944,0.518263,0.210700,0.108305,2.568402,4.623988,0.336706,0.222395,0.138940,1.730277,7.514050,0.502819,0.261927,0.080174,0.858521,5.478334,0.323839,0.232936,0.138465,0.310009,1.941473,0.175908,0.109765,0.145653,7.249679,1.271840,0.560608,0.159177,0.111736,1.192499,3.889831,0.504545,0.412849,0.123600,1.319271,19.360323,0.936943,0.867611,0.175273,0.773738,4.253754,0.205874,0.347002,0.118691,0.519356,1.756805,0.191257,0.128218,0.122084,4.142139,6.725924,0.660122,0.331385,0.308887,1.679156,8.567719,0.347085,0.441566,0.184721,0.744086,4.186469,0.302081,0.287423,0.258912,38.177692,8.486690,4.709791,1.893404,1.050930
1676058951.212354,1676058951.212762,31.000000,0.000000,4287.307617,4277.563965,4304.615234,4295.000000,4291.538574,4396.538574,4300.641113,4294.230957,4282.820313,4272.436035,4451.794922,4488.461426,4367.179688,4403.461426,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676058951.220163,1676058951.220570,32.000000,0.000000,4287.307617,4282.307617,4305.128418,4293.461426,4287.307617,4388.333496,4300.384766,4291.794922,4281.410156,4272.179688,4443.974121,4489.743652,4370.384766,4406.025879,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676058951.227971,1676058951.228479,33.000000,0.000000,4292.820313,4281.794922,4307.436035,4293.974121,4288.205078,4378.974121,4301.922852,4287.820313,4281.794922,4275.256348,4446.025879,4489.615234,4373.205078,4411.922852,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676058951.235780,1676058951.236287,34.000000,0.000000,4295.512695,4277.179688,4309.871582,4295.128418,4293.205078,4359.487305,4297.307617,4282.179688,4278.974121,4280.512695,4458.717773,4491.410156,4377.051270,4420.769043,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676058951.243588,1676058951.244196,35.000000,0.000000,4301.282227,4286.922852,4316.922852,4299.230957,4294.487305,4346.666504,4302.948730,4281.282227,4276.410156,4280.769043,4464.358887,4497.948730,4385.512695,4429.743652,0.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
