title:Psychopy_Cleo_1_2023-02-17T124926.201961, start timestamp:1676666966.115109, stop timestamp:1676667027.137483, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:125, sampling rate:eeg_128;pow_8, samples:7816      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1676666966.115109,1676666966.115503,119.000000,0.000000,4313.717773,4278.077148,4299.743652,4330.128418,4321.538574,4301.538574,4291.410156,4302.436035,4295.512695,4296.538574,4462.820313,4482.948730,4412.051270,4411.410156,2803.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,4.861182,4.107898,0.915473,0.751451,0.180201,2.846232,3.221467,1.041590,0.515960,0.558611,4.965013,6.377752,1.910409,0.924938,0.310456,0.976557,0.543653,0.946777,1.207042,2.057632,2.613067,0.766022,0.328108,0.243696,0.114404,0.483751,1.336564,0.735134,0.258919,0.198705,0.756171,3.221175,2.025405,0.923666,0.628330,0.964005,2.817750,1.812602,0.545378,0.171965,1.017642,2.345500,1.364499,0.392333,0.155056,1.840963,2.571577,1.354124,0.437622,0.303290,1.514239,2.567087,0.856662,0.493504,0.485972,5.199906,8.430665,2.809070,0.907498,0.279564,3.180364,3.701825,1.123448,0.999019,0.290318,5.260272,7.001060,1.929764,0.829215,0.214457
1676666966.122917,1676666966.123411,120.000000,0.000000,4313.333496,4285.384766,4296.922852,4293.846191,4308.717773,4306.922852,4310.897461,4308.205078,4297.948730,4283.717773,4454.871582,4488.589844,4414.615234,4408.717773,2341.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.130726,1676666966.131220,121.000000,0.000000,4301.153809,4272.948730,4287.179688,4289.102539,4308.589844,4302.436035,4313.205078,4307.948730,4303.461426,4285.897461,4451.538574,4483.205078,4408.589844,4407.179688,3112.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.138534,1676666966.139128,122.000000,0.000000,4295.000000,4268.461426,4278.333496,4302.436035,4304.871582,4300.769043,4297.436035,4310.128418,4306.794922,4295.769043,4460.897461,4475.769043,4402.179688,4406.538574,2409.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.146342,1676666966.146937,123.000000,0.000000,4297.436035,4271.025879,4276.153809,4293.461426,4293.717773,4304.871582,4291.282227,4307.436035,4307.179688,4286.153809,4455.000000,4468.717773,4398.589844,4393.333496,2803.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.154151,1676666966.154845,124.000000,0.000000,4297.820313,4266.794922,4277.692383,4300.641113,4297.948730,4314.230957,4311.922852,4310.384766,4306.794922,4276.794922,4445.384766,4469.102539,4390.384766,4386.410156,2341.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.161959,1676666966.162653,125.000000,0.000000,4294.358887,4262.820313,4276.282227,4313.333496,4305.256348,4315.769043,4316.666504,4315.128418,4301.666504,4278.974121,4447.051270,4470.897461,4379.743652,4395.512695,3112.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.169768,1676666966.170362,126.000000,0.000000,4298.589844,4266.153809,4275.512695,4300.641113,4297.436035,4302.051270,4288.461426,4303.974121,4294.102539,4278.846191,4442.948730,4465.384766,4383.461426,4395.897461,2409.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.177576,1676666966.178170,127.000000,0.000000,4311.922852,4275.641113,4287.179688,4287.051270,4288.846191,4289.615234,4266.282227,4292.051270,4296.153809,4283.077148,4447.179688,4469.615234,4400.128418,4396.282227,72.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.185384,1676666966.185879,0.000000,0.000000,4323.461426,4279.871582,4308.589844,4299.743652,4293.846191,4292.436035,4272.692383,4296.538574,4298.205078,4292.179688,4473.974121,4498.077148,4412.563965,4420.641113,2496.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.193193,1676666966.193687,1.000000,0.000000,4327.692383,4281.410156,4317.436035,4303.846191,4299.871582,4295.897461,4287.948730,4298.589844,4287.820313,4285.384766,4476.025879,4512.436035,4405.512695,4433.461426,1518.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676666966.201001,1676666966.201396,2.000000,0.000000,4326.025879,4284.615234,4311.922852,4288.205078,4296.922852,4297.692383,4296.282227,4292.692383,4279.871582,4276.025879,4457.948730,4497.948730,4400.128418,4419.615234,2237.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
