title:Psychopy_Cris_1_2023-02-10T121724.191937, start timestamp:1676060244.116428, stop timestamp:1676060305.123329, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:125, sampling rate:eeg_128;pow_8, samples:7814      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1676060244.116428,1676060244.117199,106.000000,0.000000,4257.563965,4310.512695,4290.256348,4310.769043,4268.205078,4288.205078,4295.512695,4261.666504,4288.846191,4269.615234,4417.692383,4443.974121,4336.153809,4365.384766,2727.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676060244.124236,1676060244.124908,107.000000,0.000000,4278.717773,4333.333496,4308.077148,4326.282227,4284.358887,4298.717773,4315.000000,4280.384766,4304.615234,4276.794922,4444.615234,4467.820313,4365.512695,4388.461426,2910.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676060244.132045,1676060244.132716,108.000000,0.000000,4287.948730,4339.615234,4314.487305,4328.333496,4283.846191,4301.025879,4315.384766,4282.051270,4314.615234,4291.922852,4447.820313,4472.692383,4373.461426,4395.000000,3136.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676060244.139853,1676060244.140425,109.000000,0.000000,4268.205078,4323.461426,4301.410156,4314.871582,4275.512695,4290.897461,4306.666504,4277.692383,4310.769043,4294.871582,4426.794922,4458.717773,4351.666504,4379.358887,3244.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676060244.147662,1676060244.148233,110.000000,0.000000,4258.589844,4318.589844,4294.615234,4309.230957,4273.589844,4279.230957,4304.358887,4276.666504,4302.051270,4285.897461,4423.589844,4459.743652,4346.538574,4377.692383,2727.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.713094,1.042788,0.915427,0.820196,0.889296,5.659424,3.085951,0.715756,1.144511,0.904838,1.189486,1.217230,1.472315,0.805441,0.834980,1.570974,2.511744,0.508269,0.912605,0.869274,2.816264,0.872827,0.495981,0.480846,0.591766,2.466794,0.881278,1.203471,0.363107,0.393205,1.978682,0.565859,0.405342,0.626530,0.594416,45.621773,0.964469,0.802572,0.592014,0.719383,0.595147,0.957487,0.614392,0.595417,0.883069,0.975239,2.433244,1.458897,0.818735,0.956102,16.818302,1.742465,2.832747,1.748223,1.791200,5.785781,1.797599,2.261513,1.180480,1.098031,5.641500,2.496684,1.696177,2.290375,1.890530,3.495079,2.107450,2.117640,1.668592,1.761910
1676060244.155470,1676060244.155942,111.000000,0.000000,4266.538574,4327.820313,4297.563965,4316.025879,4272.948730,4280.128418,4298.589844,4266.922852,4293.846191,4279.230957,4422.051270,4456.153809,4348.077148,4376.794922,2910.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676060244.163278,1676060244.163750,112.000000,0.000000,4271.538574,4336.153809,4301.666504,4321.025879,4274.102539,4292.436035,4301.153809,4263.205078,4296.025879,4281.410156,4402.820313,4443.333496,4333.717773,4361.153809,3136.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676060244.171087,1676060244.171459,113.000000,0.000000,4255.512695,4325.641113,4291.538574,4309.230957,4265.128418,4294.358887,4302.563965,4267.179688,4296.666504,4272.948730,4388.205078,4437.051270,4316.922852,4347.436035,3244.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676060244.178895,1676060244.179267,114.000000,0.000000,4248.333496,4316.410156,4285.641113,4303.717773,4260.000000,4291.282227,4296.666504,4264.743652,4294.230957,4271.410156,4400.000000,4438.461426,4328.205078,4355.256348,2727.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676060244.186703,1676060244.186976,115.000000,0.000000,4270.512695,4330.384766,4303.077148,4315.897461,4276.410156,4297.179688,4305.512695,4270.641113,4305.384766,4287.820313,4424.487305,4452.051270,4360.897461,4378.846191,2910.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
