title:Psychopy_Shane_1_2023-02-10T112202.227008, start timestamp:1676056922.141717, stop timestamp:1676056983.164255, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:125, sampling rate:eeg_128;pow_8, samples:7816      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1676056922.141717,1676056922.142597,13.000000,0.000000,4279.230957,4266.794922,4317.436035,4342.436035,4312.948730,4311.282227,4326.666504,4308.333496,4268.333496,4310.000000,4473.717773,4474.871582,4390.128418,4460.512695,3244.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676056922.149526,1676056922.150306,14.000000,0.000000,4269.743652,4249.230957,4302.179688,4329.102539,4301.282227,4304.358887,4310.897461,4293.205078,4258.974121,4299.743652,4463.974121,4460.512695,4385.384766,4457.307617,2409.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,91.666664,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,1.335965,4.496500,0.843628,0.231717,0.157569,0.849690,3.214272,0.958457,0.412156,0.262489,1.420364,6.505116,1.228615,0.321521,0.179948,1.144159,3.367126,1.223575,0.308559,0.151483,0.467072,2.765631,0.991280,0.171909,0.108850,0.748251,2.070056,0.662112,0.227056,0.061917,1.331252,12.454193,1.169225,0.378523,0.144150,8.492502,7.881320,0.733517,0.915833,0.324512,1.997361,12.787870,1.589212,0.666048,0.360287,1.742849,6.816533,1.647729,0.407195,0.162025,2.582197,3.972275,1.254931,0.458158,0.258092,7.733487,10.976435,1.903209,0.988560,0.383154,2.258893,4.620444,1.675026,0.392905,0.254051,2.839117,4.160879,1.301682,0.264070,0.180144
1676056922.157334,1676056922.158114,15.000000,0.000000,4263.333496,4252.563965,4297.436035,4330.512695,4292.436035,4293.333496,4298.461426,4290.256348,4259.102539,4300.641113,4456.922852,4460.897461,4385.641113,4457.948730,2471.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676056922.165142,1676056922.165823,16.000000,0.000000,4266.794922,4267.051270,4303.717773,4331.794922,4290.641113,4288.974121,4289.230957,4288.846191,4257.820313,4305.897461,4461.794922,4472.948730,4387.948730,4461.666504,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676056922.172951,1676056922.173631,17.000000,0.000000,4265.128418,4260.128418,4298.846191,4320.128418,4281.922852,4282.307617,4280.897461,4272.563965,4248.077148,4299.871582,4461.153809,4464.743652,4385.512695,4455.256348,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676056922.180759,1676056922.181340,18.000000,0.000000,4262.692383,4247.948730,4291.282227,4315.000000,4276.410156,4275.897461,4271.025879,4262.948730,4243.589844,4295.769043,4456.025879,4483.461426,4383.205078,4445.897461,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676056922.188568,1676056922.189248,19.000000,0.000000,4262.179688,4250.512695,4291.538574,4322.563965,4279.615234,4276.153809,4265.384766,4274.743652,4255.512695,4304.743652,4458.589844,4546.153809,4385.512695,4445.256348,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676056922.196376,1676056922.197057,20.000000,0.000000,4255.000000,4250.512695,4290.384766,4324.358887,4279.358887,4276.538574,4269.487305,4288.974121,4265.512695,4307.179688,4458.974121,4567.948730,4383.589844,4445.256348,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676056922.204184,1676056922.204965,21.000000,0.000000,4253.205078,4247.692383,4289.358887,4324.358887,4285.641113,4283.717773,4281.153809,4295.512695,4271.282227,4306.153809,4460.128418,4540.128418,4382.948730,4442.563965,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676056922.211993,1676056922.212773,22.000000,0.000000,4262.948730,4255.897461,4292.307617,4326.153809,4295.641113,4292.820313,4290.000000,4298.974121,4278.717773,4311.922852,4462.820313,4526.666504,4388.717773,4442.436035,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
