title:Psychopy_Vishwa_1_2023-02-10T113903.427860, start timestamp:1676057943.345009, stop timestamp:1676058004.359837, headset type:EPOCX, headset serial:E2020A42, headset firmware:720, channels:125, sampling rate:eeg_128;pow_8, samples:7815      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1676057943.345009,1676057943.345770,108.000000,0.000000,4260.512695,4246.410156,4296.282227,4279.487305,4279.102539,4282.563965,4307.692383,4322.692383,4283.077148,4266.282227,4472.692383,4476.922852,4341.025879,4378.846191,2787.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676057943.352817,1676057943.353479,109.000000,0.000000,4253.717773,4251.282227,4292.179688,4276.410156,4284.615234,4278.077148,4292.820313,4338.974121,4283.717773,4273.974121,4472.692383,4477.051270,4344.102539,4374.871582,3423.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676057943.360626,1676057943.361287,110.000000,0.000000,4261.025879,4265.256348,4298.717773,4282.948730,4281.666504,4283.717773,4301.538574,4343.974121,4286.025879,4282.948730,4480.769043,4490.000000,4352.820313,4383.333496,2508.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.318093,5.350760,0.792776,0.235542,0.156640,1.305701,3.403496,0.497744,0.219256,0.121293,3.199388,4.211684,0.832329,0.299106,0.117773,1.783011,3.361893,0.581079,0.325195,0.101023,0.417483,0.555048,0.467389,0.413174,0.505124,0.178739,0.540375,0.455276,0.218019,0.155235,0.915742,2.219252,1.687438,0.493635,0.716276,0.559768,1.550785,0.964182,0.603508,0.743548,0.543607,0.724991,0.193874,0.196046,0.093539,1.317558,1.703821,0.313390,0.331553,0.318994,1.366115,3.546970,0.700139,0.329169,0.238655,2.504953,6.748967,1.370102,0.319528,0.242201,4.098203,3.327398,0.574496,0.770233,0.228552,32.577080,8.257482,0.968278,0.423429,0.250112
1676057943.368434,1676057943.368996,111.000000,0.000000,4264.102539,4262.051270,4298.205078,4284.487305,4282.692383,4282.563965,4297.179688,4314.358887,4281.410156,4276.538574,4479.615234,4484.871582,4352.051270,4382.692383,2847.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676057943.376243,1676057943.376904,112.000000,0.000000,4259.871582,4251.794922,4290.769043,4279.615234,4279.230957,4269.358887,4274.615234,4288.461426,4272.307617,4264.358887,4467.307617,4469.871582,4343.461426,4373.077148,2787.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676057943.384051,1676057943.384713,113.000000,0.000000,4266.153809,4257.692383,4297.948730,4289.230957,4275.897461,4268.846191,4280.897461,4294.487305,4274.102539,4265.897461,4467.948730,4475.256348,4345.769043,4379.743652,3423.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676057943.391859,1676057943.392621,114.000000,0.000000,4276.410156,4265.641113,4309.358887,4298.205078,4285.769043,4277.307617,4278.077148,4289.230957,4274.230957,4272.436035,4475.000000,4481.922852,4352.820313,4390.769043,2508.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676057943.399668,1676057943.400430,115.000000,0.000000,4280.512695,4267.436035,4312.948730,4296.410156,4293.461426,4279.102539,4250.769043,4252.563965,4267.948730,4281.410156,4468.333496,4472.179688,4354.487305,4386.153809,2847.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676057943.407476,1676057943.408338,116.000000,0.000000,4280.384766,4266.410156,4311.666504,4295.897461,4285.897461,4279.743652,4246.025879,4216.410156,4261.282227,4286.282227,4454.102539,4456.282227,4347.307617,4373.974121,2787.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676057943.415285,1676057943.416146,117.000000,0.000000,4269.230957,4257.563965,4302.307617,4290.384766,4282.307617,4282.820313,4267.692383,4207.692383,4251.794922,4271.410156,4446.025879,4442.179688,4331.538574,4362.692383,3423.000000,4.000000,94.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
